Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name
2021,0,14775.144869015614,203.39583035430388,AL,ALABAMA
2021,2,0.8331316372780952,19.915030442328934,AZ,ARIZONA
2021,3,80328.19037823862,1299.3368215822368,AR,ARKANSAS
2021,4,5392.470654308956,274.17630142441664,CA,CALIFORNIA
2021,5,978590.0280156384,17615.884659992822,CO,COLORADO
2021,6,0.0,0.0,CT,CONNECTICUT
2021,7,8191.922320469033,142.7407365763496,DE,DELAWARE
2021,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
2021,9,1713.3210705325694,13.435377745355096,FL,FLORIDA
2021,10,48538.09453931909,722.6475912543677,GA,GEORGIA
2021,12,144844.0175852437,3487.248305531774,ID,IDAHO
2021,13,132462.20012121287,1995.219074093376,IL,ILLINOIS
2021,14,65464.10219147135,1140.4483014423204,IN,INDIANA
2021,15,1982.444053237948,8.529408687826592,IA,IOWA
2021,16,12644298.336612716,58345.38338706072,KS,KANSAS
2021,17,34099.67231112495,1092.903154162389,KY,KENTUCKY
2021,18,5215.351168760639,126.2104052104198,LA,LOUISIANA
2021,19,0.0,0.0,ME,MAINE
2021,20,16289.408522568865,304.1227337781372,MD,MARYLAND
2021,21,0.0,0.0,MA,MASSACHUSETTS
2021,22,62424.87010828012,217.34429078147556,MI,MICHIGAN
2021,23,1414157.5230941006,5276.325315556525,MN,MINNESOTA
2021,24,11689.843102002014,135.97651612528438,MS,MISSISSIPPI
2021,25,171123.23226244713,2122.350157078954,MO,MISSOURI
2021,26,5750669.439782713,39310.87260815207,MT,MONTANA
2021,27,2561699.688497255,10356.870400839838,NE,NEBRASKA
2021,28,10232.434158899647,1253.5584241925292,NV,NEVADA
2021,29,0.0,0.0,NH,NEW HAMPSHIRE
2021,30,4082.142640180525,96.30598430114907,NJ,NEW JERSEY
2021,31,99997.65991047915,1756.8186097896587,NM,NEW MEXICO
2021,32,222.66887321578986,1.7655857187487016,NY,NEW YORK
2021,33,83969.73288426569,1428.0241844712446,NC,NORTH CAROLINA
2021,34,11416031.036711873,42957.689584088446,ND,NORTH DAKOTA
2021,35,197501.85923373044,2308.055160876822,OH,OHIO
2021,36,5190197.905630274,30780.69578344834,OK,OKLAHOMA
2021,37,1694692.5274130546,8111.108975817193,OR,OREGON
2021,38,8311.547163471052,306.37698816894397,PA,PENNSYLVANIA
2021,39,0.0,0.0,RI,RHODE ISLAND
